Provider,Latitude,Longitude,Altitude,Speed,Accuracy,(UTC)TimeInMs
gps,37.426536,-122.175789,1.245148,0.000000,3.216000,1581800799000
gps,37.426537,-122.175789,1.261780,0.000000,3.216000,1581800800000
gps,37.426537,-122.175789,1.253906,0.000000,3.216000,1581800801000
gps,37.426537,-122.175789,1.255890,0.000000,3.216000,1581800802000
gps,37.426537,-122.175789,1.256592,0.000000,3.216000,1581800803000
gps,37.426537,-122.175789,1.254669,0.000000,3.216000,1581800804000
gps,37.426537,-122.175789,1.254639,0.000000,3.216000,1581800805000
gps,37.426537,-122.175789,1.253265,0.000000,3.216000,1581800806000
gps,37.426537,-122.175789,1.260681,0.000000,3.216000,1581800807000
gps,37.426535,-122.175791,1.568817,0.000000,3.216000,1581800808000
gps,37.426537,-122.175793,1.651123,0.000000,3.216000,1581800809000
gps,37.426538,-122.175792,2.277557,0.000000,3.216000,1581800810000
gps,37.426541,-122.175791,2.506287,0.000000,3.216000,1581800811000
gps,37.426542,-122.175790,2.661255,0.000000,3.216000,1581800812000
gps,37.426547,-122.175786,2.009155,0.000000,3.216000,1581800813000
gps,37.426547,-122.175785,1.946899,0.210000,3.216000,1581800814000
gps,37.426545,-122.175785,1.915192,0.600000,3.216000,1581800815000
gps,37.426536,-122.175789,1.911926,1.080000,3.216000,1581800816000
gps,37.426524,-122.175793,3.250763,1.350000,3.216000,1581800817000
gps,37.426511,-122.175794,2.900330,1.350000,3.216000,1581800818000
gps,37.426500,-122.175796,2.903870,1.170000,3.216000,1581800819000
gps,37.426491,-122.175797,2.649506,1.020000,3.216000,1581800820000
gps,37.426483,-122.175799,2.751007,1.020000,3.216000,1581800821000
gps,37.426475,-122.175800,2.826294,0.980000,3.216000,1581800822000
gps,37.426464,-122.175803,2.947418,1.210000,3.216000,1581800823000
gps,37.426452,-122.175809,2.929504,1.340000,3.216000,1581800824000
gps,37.426441,-122.175815,2.996399,1.310000,3.216000,1581800825000
gps,37.426430,-122.175821,3.178162,1.300000,3.216000,1581800826000
