,SVid,ContellationType,TDoA_[ms],Pseudoranges_[m]
0,6,3,594018066.107,178082136134626
1,18,3,594018077.305,178082139491639
2,9,3,594018077.384,178082139515300
3,16,3,594018066.267,178082136182480
4,15,3,594018071.892,178082137869046
5,5,3,594018071.396,178082137720191
6,17,3,594018074.891,178082138767991
7,7,3,594018075.482,178082138945107
8,4,1,80.994,24281388
9,5,1,78.351,23488947
10,7,1,69.475,20828002
11,8,1,73.992,22182101
12,9,1,72.313,21678905
13,11,1,81.862,24541486
14,13,1,82.929,24861452
15,23,1,78.621,23570110
16,27,1,80.079,24007154
17,28,1,72.474,21727010
18,30,1,70.755,21211760
19,3,6,83.446,25016539
20,5,6,79.42,23809499
21,9,6,82.569,24753462
22,12,6,87.467,26222005
23,24,6,73.823,22131686
24,25,6,81.226,24350929
25,31,6,92.026,27588573
26,6,3,594018066.107,178082136134665
27,18,3,594018077.302,178082139490940
28,9,3,594018077.382,178082139514786
29,16,3,594018066.267,178082136182517
30,15,3,594018071.894,178082137869529
31,5,3,594018071.398,178082137720919
32,17,3,594018074.89,178082138767762
33,7,3,594018075.48,178082138944455
34,4,1,80.996,24282058
35,5,1,78.351,23488990
36,7,1,69.475,20827993
37,8,1,73.992,22182218
38,9,1,72.315,21679422
39,11,1,81.86,24541049
40,13,1,82.927,24860775
41,23,1,78.624,23570763
42,27,1,80.081,24007611
43,28,1,72.472,21726580
44,30,1,70.754,21211487
45,3,6,83.445,25016244
46,5,6,79.421,23809717
47,9,6,82.571,24754031
48,12,6,87.466,26221595
49,24,6,73.824,22131895
50,25,6,81.225,24350729
51,31,6,92.027,27589026
52,6,3,594018066.107,178082136134519
53,18,3,594018077.3,178082139490222
54,9,3,594018077.38,178082139514286
55,16,3,594018066.267,178082136182492
56,15,3,594018071.896,178082137869996
57,5,3,594018071.401,178082137721652
58,17,3,594018074.889,178082138767546
59,7,3,594018075.477,178082138943796
60,4,1,80.998,24282722
61,5,1,78.351,23489026
62,7,1,69.475,20827998
63,8,1,73.992,22182331
64,9,1,72.316,21679939
65,11,1,81.859,24540602
66,13,1,82.924,24860112
67,23,1,78.626,23571417
68,27,1,80.082,24008069
69,28,1,72.471,21726152
70,30,1,70.753,21211210
71,3,6,83.444,25015947
72,5,6,79.422,23809967
73,9,6,82.572,24754599
74,12,6,87.464,26221176
75,24,6,73.825,22132135
76,25,6,81.225,24350523
77,31,6,92.029,27589478
78,6,3,594018066.107,178082136134513
79,18,3,594018077.298,178082139489554
80,9,3,594018077.379,178082139513783
81,16,3,594018066.267,178082136182514
82,15,3,594018071.897,178082137870479
83,5,3,594018071.403,178082137722400
84,17,3,594018074.889,178082138767298
85,7,3,594018075.475,178082138943150
86,4,1,81.001,24283399
87,5,1,78.351,23489067
88,7,1,69.475,20827988
89,8,1,73.993,22182453
90,9,1,72.318,21680459
91,11,1,81.857,24540147
92,13,1,82.922,24859442
93,23,1,78.628,23572069
94,27,1,80.084,24008527
95,28,1,72.469,21725721
96,30,1,70.752,21210936
97,3,6,83.443,25015653
98,5,6,79.422,23810202
99,9,6,82.574,24755170
100,12,6,87.463,26220769
101,24,6,73.826,22132362
102,25,6,81.224,24350328
103,31,6,92.03,27589930
104,6,3,594018066.107,178082136134544
105,18,3,594018077.296,178082139488886
106,9,3,594018077.377,178082139513311
107,16,3,594018066.267,178082136182473
108,15,3,594018071.899,178082137870946
109,5,3,594018071.406,178082137723143
110,17,3,594018074.888,178082138767074
