week,seconds of week [s],pr [m],SV,sat x ECEF [m],sat y ECEF [m],sat z ECEF [m],idk wtf this is
2092,594853.4,24578565.7245147,4,1489744.30511779,-25104713.6150763,-8500949.69877029,-4.93E-05
2092,594853.4,23517215.0028321,5,-22096586.0438643,4091583.68312597,14172712.2151565,-7.66E-06
2092,594853.4,20833120.9642432,7,-4616874.17820359,-15826217.0108142,21020058.3562646,-0.000215250536257
2092,594853.4,22244846.3365176,8,8005104.87523493,-18317893.1010392,17389881.0356778,-2.39E-05
2092,594853.4,21911263.3673484,9,-6889375.68974678,-25604774.8450088,1346715.22776401,-0.000156392650994
2092,594853.4,24355667.9508491,11,12029661.1365323,-23546092.8417299,3336109.29499762,-0.000360121683575
2092,594853.4,23860025.8565446,23,-557139.560023132,-25212722.8147168,-7329962.94774796,-0.000136053178219
2092,594853.4,24214320.2797464,27,13371254.1732541,-7118409.48673626,21658635.0177097,-0.000212148243127
2092,594853.4,21548144.5435378,28,-22510219.3860462,-13254394.2524369,4942296.17721585,0.000738972091645
2092,594853.4,21095908.8188477,30,-14652804.3569234,-7638240.79130364,20856340.6370659,-0.000154004032746
2092,594854.4,24579280.4505329,4,1490197.26747309,-25103696.7735129,-8503872.37858103,-4.93E-05
2092,594854.4,23517296.2161454,5,-22098268.2127726,4090861.1098536,14170339.7612122,-7.66E-06
2092,594854.4,20833172.1980824,7,-4614846.18298369,-15827872.5855774,21019198.3402509,-0.000215250542752
2092,594854.4,22245020.2104871,8,8005764.08007783,-18315777.1065263,17391833.333444,-2.39E-05
2092,594854.4,21911807.185934,9,-6889114.90257331,-25605017.39799,1343562.75259562,-0.000156392659673
2092,594854.4,24355255.1135979,11,12029865.556926,-23545495.0301537,3339115.01567351,-0.000360121671541
2092,594854.4,23860694.4092867,23,-556564.729061644,-25211841.6471831,-7332932.40559482,-0.000136053179392
2092,594854.4,24214806.547514,27,13371892.2288463,-7115704.8146435,21659159.1592623,-0.000212148255794
2092,594854.4,21547754.5311713,28,-22509621.8808145,-13254381.2021877,4945439.62801608,0.000738972089578
2092,594854.4,21095656.6981018,30,-14650824.6809493,-7639998.47409894,20857068.612123,-0.000154004041118
2092,594855.4,24579956.1578642,4,1490650.35458865,-25102679.5964851,-8506794.87754614,-4.93E-05
2092,594855.4,23517371.7755883,5,-22099950.1349176,4090138.71668822,14167967.0059906,-7.66E-06
2092,594855.4,20833173.6988012,7,-4612818.35677749,-15829528.209706,21018337.8846066,-0.000215250549247
2092,594855.4,22245188.0815818,8,8006423.46459121,-18313660.9130759,17393785.2585324,-2.39E-05
2092,594855.4,21912357.0073946,9,-6888854.04070995,-25605259.5797286,1340410.24886564,-0.000156392668352
2092,594855.4,24354835.7150647,11,12030069.8751682,-23544896.8777109,3342120.6660822,-0.000360121659507
2092,594855.4,23861367.4292844,23,-555989.760344035,-25210960.1427444,-7335901.7019925,-0.000136053180566
2092,594855.4,24215300.5980786,27,13372530.4613437,-7113000.11998529,21659682.8332179,-0.000212148268459
2092,594855.4,21547351.2915398,28,-22509024.0158071,-13254368.0284577,4948582.97402416,0.000738972087511
2092,594855.4,21095397.9811736,30,-14648845.0292802,-7641756.32467198,20857796.1459192,-0.00015400404949
2092,594856.4,24580643.4172397,4,1491103.56618693,-25101662.0842127,-8509717.19511168,-4.93E-05
2092,594856.4,23517462.1677161,5,-22101631.8101237,4089416.50370667,14165593.9497038,-7.66E-06
2092,594856.4,20833215.5095229,7,-4610790.70053676,-15831183.8825622,21017476.9896055,-0.000215250555743
2092,594856.4,22245358.8145122,8,8007083.02878257,-18311544.5208073,17395736.8108451,-2.39E-05
2092,594856.4,21912903.0596081,9,-6888593.10397086,-25605501.390274,1337257.71653709,-0.00015639267703
2092,594856.4,24354424.8322378,11,12030274.0912689,-23544298.384435,3345126.2460098,-0.000360121647475
2092,594856.4,23862034.6209095,23,-555414.653681721,-25210078.3014058,-7338870.83697844,-0.00013605318174
2092,594856.4,24215797.8245829,27,13373168.8707765,-7110295.40273938,21660206.0395748,-0.000212148281125
2092,594856.4,21546963.7920047,28,-22508425.7911359,-13254354.7312032,4951726.214872,0.000738972085445
2092,594856.4,21095144.4993107,30,-14646865.4020505,-7643514.34291877,20858523.23841,-0.000154004057862
2092,594857.4,24581328.4429873,4,1491556.90242958,-25100644.2366783,-8512639.33134706,-4.93E-05
2092,594857.4,23517546.6965709,5,-22103313.2384765,4088694.47071085,14163220.5922415,-7.66E-06
2092,594857.4,20833230.2026062,7,-4608763.21357636,-15832839.6045429,21016615.6550704,-0.00021525056224
2092,594857.4,22245531.187763,8,8007742.77268963,-18309427.9297673,17397687.9903472,-2.39E-05
2092,594857.4,21913452.6018651,9,-6888332.09234193,-25605742.8296199,1334105.15575638,-0.000156392685709
2092,594857.4,24354006.6203195,11,12030478.2053884,-23543699.5502325,3348131.75554927,-0.000360121635443
2092,594857.4,23862702.2662402,23,-554839.40907098,-25209196.123219,-7341839.81042177,-0.000136053182915
2092,594857.4,24216295.4698924,27,13373807.4571528,-7107590.66293644,21660728.7783273,-0.00021214829379
2092,594857.4,21546572.8722269,28,-22507827.2066885,-13254341.310597,4954869.35069176,0.00073897208338
2092,594857.4,21094886.3756899,30,-14644885.7992291,-7645272.52890786,20859249.8896026,-0.000154004066235
