week,seconds of week [s],pr [m],SV,sat x ECEF [m],sat y ECEF [m],sat z ECEF [m],idk wtf this is,Pr_sigma
2092,594595.445748489,24402456.9753715,4,1376917.56389523,-25355757.8608984,-7741024.32571991,-4.93E-05,5.096471786
2092,594595.445748489,23497914.7828085,5,-21654492.4954246,4284093.92903964,14774593.8229437,-7.66E-06,2.398339664
2092,594595.445748489,20829048.1183231,7,-5145648.29569232,-15400867.167026,21227215.0643404,-0.000215248879679,5.696056702
2092,594595.445748489,22204861.3612945,8,7840975.97015914,-18856998.6944755,16873855.7780116,-2.39E-05,2.698132122
2092,594595.445748489,21772295.5918414,9,-6954305.57519204,-25529774.3482925,2158903.03077856,-0.000156390409085,3.297717038
2092,594595.445748489,24464313.460202,11,11973378.1161014,-23688967.801783,2558468.2234778,-0.000360124813066,11.99169832
2092,594595.445748489,24741251.8359734,13,-13069483.7399333,11284378.0295372,20034995.9401948,-1.26E-05,3.597509496
2092,594595.445748489,23687882.1807767,23,-700957.025556188,-25428714.0710572,-6558641.49996627,-0.000136052888235,2.398339664
2092,594595.445748489,24089794.4440426,27,13212563.4739891,-7815253.73790545,21507815.0309764,-0.000212144965181,5.096471786
2092,594595.445748489,21651900.7461831,28,-22652372.9076045,-13253475.5114122,4127971.23415665,0.000738972655384,3.897301954
2092,594595.445748489,21163392.8592975,30,-15164213.3462888,-7190452.39594249,20653827.9859096,-0.000154001878955,9.293566198
2092,594596.445748489,24403140.4305995,4,1377339.81811586,-25354828.6488672,-7743991.67044824,-4.93E-05,4.796679328
2092,594596.445748489,23497971.6705183,5,-21656236.5817386,4283324.10406143,14772300.7790256,-7.66E-06,2.398339664
2092,594596.445748489,20829051.6432671,7,-5143577.86996398,-15402508.3637722,21226468.933963,-0.000215248886027,7.195018992
2092,594596.445748489,22205000.683833,8,7841589.48401902,-18854936.038371,16875902.8413723,-2.39E-05,2.99792458
2092,594596.445748489,21772818.9587719,9,-6954062.4055104,-25530112.8858434,2155760.18355024,-0.000156390417785,3.297717038
2092,594596.445748489,24463855.0080816,11,11973610.3831569,-23688457.6012155,2561489.95802022,-0.000360124800842,7.195018992
2092,594596.445748489,24740588.622998,13,-13069763.6237774,11281819.2421833,20036254.5579713,-1.26E-05,3.597509496
2092,594596.445748489,23688542.5319164,23,-700416.410669508,-25427920.8952635,-6561650.38984683,-0.000136052889309,2.698132122
2092,594596.445748489,24090262.0400771,27,13213155.7054264,-7812557.26463112,21508459.4444225,-0.000212144977925,4.197094412
2092,594596.445748489,21651483.9651826,28,-22651868.0180979,-13253496.1587694,4131139.54841868,0.000738972653082,3.297717038
2092,594596.445748489,21163129.2563084,30,-15162229.2490022,-7192165.77715848,20654669.2451204,-0.00015400188728,7.195018992
2092,594597.445748489,24403800.362934,4,1377762.18599343,-25353899.0929396,-7746958.85037777,-4.93E-05,4.796679328
2092,594597.445748489,23498022.694955,5,-21657980.4349315,4282554.46510092,14770007.4208313,-7.66E-06,2.99792458
2092,594597.445748489,20829067.2786622,7,-5141507.60371599,-15404149.6227176,21225722.3603846,-0.000215248892376,6.295641618
2092,594597.445748489,22205133.8638948,8,7842203.17232105,-18852873.1677689,16877949.5429254,-2.39E-05,3.297717038
2092,594597.445748489,21773344.5942307,9,-6953819.174054,-25530451.0506823,2152617.29040655,-0.000156390426485,3.297717038
2092,594597.445748489,24463409.8879275,11,11973842.5364631,-23687947.0625435,2564511.63856912,-0.000360124788618,10.49273603
2092,594597.445748489,24739901.2938217,13,-13070043.6688633,11279260.3123858,20037512.7441942,-1.26E-05,5.096471786
2092,594597.445748489,23689197.6479907,23,-699875.668403385,-25427127.3744313,-6564659.13547954,-0.000136052890384,2.698132122
2092,594597.445748489,24090722.5862237,27,13213748.1150115,-7809860.75047704,21509103.3932302,-0.000212144990668,3.897301954
2092,594597.445748489,21651064.3223464,28,-22651362.7705135,-13253516.6684944,4134307.77487391,0.000738972650782,3.297717038
2092,594597.445748489,21162851.4139415,30,-15160245.161535,-7193879.33402019,20655510.0675613,-0.000154001895604,7.195018992
2092,594598.445748488,24404489.1230281,4,1378184.66730639,-25352969.193321,-7749925.86492366,-4.93E-05,5.096471786
2092,594598.445748488,23498082.8284053,5,-21659724.0548671,4281785.01214174,14767713.7485276,-7.66E-06,2.698132122
2092,594598.445748488,20829068.6397792,7,-5139437.49663021,-15405790.9440143,21224975.3435536,-0.000215248898725,6.295641618
2092,594598.445748488,22205270.1151949,8,7842817.03512352,-18850810.0827712,16879995.8825623,-2.39E-05,3.297717038
2092,594598.445748488,21773869.392079,9,-6953575.88061787,-25530788.8428579,2149474.35138632,-0.000156390435184,3.597509496
2092,594598.445748488,24463005.9153868,11,11974074.5760053,-23687436.1858221,2567533.26477641,-0.000360124776395,9.293566198
2092,594598.445748488,24739227.1919104,13,-13070323.8751283,11276701.2405821,20038770.4986782,-1.26E-05,4.796679328
2092,594598.445748488,23689850.7747403,23,-699334.798610608,-25426333.5086031,-6567667.73676163,-0.000136052891459,2.698132122
2092,594598.445748488,24091191.3339726,27,13214340.7027225,-7807164.19563443,21509746.8773532,-0.000212145003411,3.897301954
2092,594598.445748488,21650643.8768002,28,-22650857.1647848,-13253537.040748,4137475.91343023,0.000738972648482,3.897301954
2092,594598.445748488,21162570.9889424,30,-15158261.084006,-7195593.0664662,20656350.4531803,-0.000154001903929,9.293566198
2092,594599.445748489,24405161.1309133,4,1378607.26235757,-25352038.9498893,-7752892.714479,-4.93E-05,5.096471786
2092,594599.445748489,23498139.6812147,5,-21661467.441565,4281015.74513805,14765419.7620653,-7.66E-06,2.698132122
2092,594599.445748489,20829067.0343592,7,-5137367.5489168,-15407432.327521,21224227.8835101,-0.000215248905074,7.195018992
2092,594599.445748489,22205405.4939841,8,7843431.07241073,-18848746.7834259,16882041.8602706,-2.39E-05,3.597509496
2092,594599.445748489,21774391.7817972,9,-6953332.52522769,-25531126.2623553,2146331.36653423,-0.000156390443884,3.597509496
2092,594599.445748489,24462574.4064025,11,11974306.5021959,-23686924.9707624,2570554.83727572,-0.000360124764173,7.195018992
2092,594599.445748489,24738548.6576438,13,-13070604.2426154,11274142.0266706,20040027.8214724,-1.26E-05,4.796679328
2092,594599.445748489,23690511.684287,23,-698793.801413496,-25425539.2978292,-6570676.1935336,-0.000136052892534,2.99792458
2092,594599.445748489,24091663.083159,27,13214933.4685508,-7804467.60015039,21510389.8967912,-0.000212145016154,3.897301954
2092,594599.445748489,21650236.3444151,28,-22650351.2010156,-13253557.2754303,4140643.96388158,0.000738972646183,3.597509496
2092,594599.445748489,21162309.7242824,30,-15156277.0166747,-7197306.97421467,20657190.4018993,-0.000154001912254,8.094396366
2092,594600.445748488,24405841.7243056,4,1379029.97097718,-25351108.3627662,-7755859.39872254,-4.93E-05,4.796679328
2092,594600.445748488,23498201.7690895,5,-21663210.5949053,4280246.66415396,14763125.4615646,-7.66E-06,2.698132122
2092,594600.445748488,20829059.2864625,7,-5135297.7605998,-15409073.7732005,21223479.9802615,-0.000215248911424,7.195018992
2092,594600.445748488,22205548.5508691,8,7844045.28413131,-18846683.2698791,16884087.4759436,-2.39E-05,4.197094412
2092,594600.445748488,21774914.9742255,9,-6953089.10787626,-25531463.3091632,2143188.33595868,-0.000156390452584,3.597509496
2092,594600.445748488,24462142.1645091,11,11974538.3148845,-23686413.4174868,2573576.35572564,-0.000360124751951,5.696056702
