,seconds of week [s],SV,pr [m],sat x ECEF [m],sat y ECEF [m],sat z ECEF [m]
0,0,1,30103984.574290507,15000000.0,-25000000.0,-7500000.0
1,0,2,25317980.812406573,-20000000.0,4000000.0,15000000.0
2,0,3,17029384.902429268,8000000.0,15000000.0,-1000000.0
3,0,4,40078044.67454563,2000000.0,-40000000.0,-1500000.0
4,0,5,22392849.50144827,-1200000.0,-10000000.0,20000000.0
5,0,6,25722367.007970247,800000.0,-25000000.0,6000000.0
6,1,1,30103992.425274376,15000000.0,-25000000.0,-7500000.0
7,1,2,25317987.468587372,-20000000.0,4000000.0,15000000.0
8,1,3,17029379.745918497,8000000.0,15000000.0,-1000000.0
9,1,4,40078053.64763953,2000000.0,-40000000.0,-1500000.0
10,1,5,22392854.139822613,-1200000.0,-10000000.0,20000000.0
11,1,6,25722380.76959565,800000.0,-25000000.0,6000000.0
12,2,1,30104005.0054155,15000000.0,-25000000.0,-7500000.0
13,2,2,25317967.976102605,-20000000.0,4000000.0,15000000.0
14,2,3,17029369.423182562,8000000.0,15000000.0,-1000000.0
15,2,4,40078047.359147124,2000000.0,-40000000.0,-1500000.0
16,2,5,22392851.204421602,-1200000.0,-10000000.0,20000000.0
17,2,6,25722357.1724785,800000.0,-25000000.0,6000000.0
18,3,1,30103985.829597283,15000000.0,-25000000.0,-7500000.0
19,3,2,25317992.320102032,-20000000.0,4000000.0,15000000.0
20,3,3,17029381.995392743,8000000.0,15000000.0,-1000000.0
21,3,4,40078046.27533975,2000000.0,-40000000.0,-1500000.0
22,3,5,22392856.224375017,-1200000.0,-10000000.0,20000000.0
23,3,6,25722364.057555284,800000.0,-25000000.0,6000000.0
24,4,1,30104011.87424898,15000000.0,-25000000.0,-7500000.0
25,4,2,25317981.11098478,-20000000.0,4000000.0,15000000.0
26,4,3,17029370.65433743,8000000.0,15000000.0,-1000000.0
27,4,4,40078062.91908464,2000000.0,-40000000.0,-1500000.0
28,4,5,22392844.75112929,-1200000.0,-10000000.0,20000000.0
29,4,6,25722368.95994422,800000.0,-25000000.0,6000000.0
30,5,1,30103985.160184663,15000000.0,-25000000.0,-7500000.0
31,5,2,25317977.59636214,-20000000.0,4000000.0,15000000.0
32,5,3,17029376.903126717,8000000.0,15000000.0,-1000000.0
33,5,4,40078046.094007745,2000000.0,-40000000.0,-1500000.0
34,5,5,22392858.846878555,-1200000.0,-10000000.0,20000000.0
35,5,6,25722374.671705816,800000.0,-25000000.0,6000000.0
36,6,1,30103994.143324032,15000000.0,-25000000.0,-7500000.0
37,6,2,25317982.517752897,-20000000.0,4000000.0,15000000.0
